state,total_cases,total_deaths,total_vaccinations,total_recovery
Alabama,1301171,19570,6284138,1255785
Alaska,244914,1219,1146665,238063
Arizona,2021524,29951,12142086,1982114
Arkansas,835983,11394,4244242,822847
California,9241626,90530,75156083,8978972
Colorado,1385179,13223,10722060,1320139
Connecticut,760370,10851,7625344,724737
Delaware,263164,2919,1813738,255642
Florida,5980753,74005,37553522,5823034
Georgia,2515139,37806,14895982,2460440
Hawaii,248405,1418,2913873,239700
Idaho,446227,4927,2453827,439283
Illinois,3147663,37906,22643067,3027532
Indiana,1703579,23591,9534900,1569698
Iowa,859772,9529,5112338,843527
Kansas,775813,8635,4609070,761243
Kentucky,1328111,15523,6529028,1290285
Louisiana,1238557,17262,6244826,1216437
Maine,245871,2287,2843521,233972
Maryland,1032775,14462,12059630,998366
Massachusetts,1763854,20280,14846789,1710896
Michigan,2425946,36002,15890801,2354255
Minnesota,1454278,12781,10335405,1430467
Mississippi,797922,12446,3867738,782424
Missouri,1425626,20360,8942546,1386568
Montana,274134,3373,1584532,270156
Nebraska,480151,4197,3207586,473634
Nevada,718675,10752,4901151,699586
"New Hampshire",311144,2481,2537052,305674
"New Jersey",2267006,33444,17229452,2144526
"New Mexico",522857,7516,3942293,503782
"North Carolina",2659255,23405,16736601,2620443
"North Dakota",241127,2268,1074974,238445
Ohio,2697058,38428,17856747,2635724
Oklahoma,1039953,14267,5913315,1024394
Oregon,723336,7505,7794171,693718
Pennsylvania,2825267,44715,23017281,2746335
"Rhode Island",372866,3540,2220723,358463
"South Carolina",1474272,17767,7390394,1444901
"South Dakota",237812,2912,1414457,234360
Tennessee,2030608,26166,9954446,1996027
Texas,6826452,88546,46774932,6663527
Utah,932253,4747,5212178,922993
Vermont,124523,639,1405606,116199
Virginia,1705650,20237,16498575,1650792
Washington,1510309,12706,14452365,1449196
"West Virginia",501743,6857,2724126,494032
Wisconsin,1614126,14415,10266513,1571747
Wyoming,156550,1812,755840,154406
