state,total_cases,total_deaths,total_recovery,active_cases,total_cases_per_mil,deaths_per_mil,total_tests,tests_per_mil,population
Alabama,1301171,19570,1255785,25816,265373,3991,7597614,1549526,4903185
Alaska,244914,1219,238063,5632,334790,1666,4107614,5614985,731545
Arizona,2021524,29951,1982114,9459,277731,4115,19216103,2640040,7278717
Arkansas,835983,11394,822847,1742,277017,3776,6842221,2267285,3017804
California,9241626,90530,8978972,172124,233893,2291,161137197,4078161,39512223
Colorado,1385179,13223,1320139,51817,240535,2296,17429044,3026540,5758736
Connecticut,760370,10851,724737,24782,213270,3044,15534710,4357212,3565287
Delaware,263164,2919,255642,4603,270254,2998,1023381,1050954,973764
Florida,5980753,74005,5823034,83714,278463,3446,57034889,2655535,21477737
Georgia,2515139,37806,2460440,16893,236888,3561,24740611,2330190,10617423
Hawaii,248405,1418,239700,7287,175443,1002,3682159,2600630,1415872
Idaho,446227,4927,439283,2017,249698,2757,2906911,1626640,1787065
Illinois,3147663,37906,3027532,82225,248399,2991,57898053,4569040,12671821
Indiana,1703579,23591,1569698,110290,253049,3504,19682859,2923681,6732219
Iowa,859772,9529,843527,6716,272505,3020,8492575,2691723,3155070
Kansas,775813,8635,761243,5935,266299,2964,2269976,779173,2913314
Kentucky,1328111,15523,1290285,22303,297271,3475,13675281,3060940,4467673
Louisiana,1238557,17262,1216437,4858,266425,3713,15441184,3321546,4648794
Maine,245871,2287,233972,9612,182911,1701,5128641,3815351,1344212
Maryland,1032775,14462,998366,19947,170829,2392,20247946,3349159,6045680
Massachusetts,1763854,20280,1710896,32678,255909,2942,43922640,6372524,6892503
Michigan,2425946,36002,2354255,35689,242914,3605,24785260,2481788,9986857
Minnesota,1454278,12781,1430467,11030,257868,2266,19479012,3453951,5639632
Mississippi,797922,12446,782424,3052,268106,4182,6336590,2129124,2976149
Missouri,1425626,20360,1386568,18698,232284,3317,14632189,2384091,6137428
Montana,274134,3373,270156,605,256493,3156,2781382,2602395,1068778
Nebraska,480151,4197,473634,2320,248216,2170,5481264,2833561,1934408
Nevada,718675,10752,699586,8337,233324,3491,6875532,2232203,3080156
New Hampshire,311144,2481,305674,2989,228831,1825,4704598,3459998,1359711
New Jersey,2267006,33444,2144526,89036,255231,3765,17644174,1986467,8882190
New Mexico,522857,7516,503782,11559,249356,3584,7013553,3344838,2096829
New York,5340826,68875,5192491,79460,274542,3540,107880050,5545517,19453561
North Carolina,2659255,23405,2620443,15407,253550,2232,26356209,2512967,10488084
North Dakota,241127,2268,238445,414,316414,2976,618121,811116,762062
Ohio,2697058,38428,2635724,22906,230733,3288,22272602,1905416,11689100
Oklahoma,1039953,14267,1024394,1292,262815,3606,5473577,1383274,3956971
Oregon,723336,7505,693718,22113,171499,1779,11156381,2645111,4217737
Pennsylvania,2825267,44715,2746335,34217,220690,3493,25996215,2030639,12801989
Rhode Island,372866,3540,358463,10863,351973,3342,7805892,7368491,1059361
South Carolina,1474272,17767,1444901,11604,286338,3451,15685430,3046475,5148714
South Dakota,237812,2912,234360,540,268818,3292,2161622,2443452,884659
Tennessee,2030608,26166,1996027,8415,297343,3832,12901180,1889127,6829174
Texas,6826452,88546,6663527,74379,235428,3054,64105586,2210851,28995881
Utah,932253,4747,922993,4513,290788,1481,9406861,2934181,3205958
Vermont,124523,639,116199,7685,199560,1024,3582803,5741773,623989
Virginia,1705650,20237,1650792,34621,199830,2371,19172533,2246206,8535519
Washington,1510309,12706,1449196,48407,198336,1669,13118226,1722707,7614893
West Virginia,501743,6857,494032,854,279968,3826,6058521,3380594,1792147
Wisconsin,1614126,14415,1571747,27964,277225,2476,16097511,2764739,5822434
Wyoming,156550,1812,154406,332,270493,3131,1396443,2412823,578759
